Cloud Cover,Humidity,Pressure,Global Radiation,Precipitation,Sunshine,Temperature,Picnic
8.0,0.89,1.0286,0.2,0.03,0.0,2.9,False
5.0,0.81,1.0314,0.5,0.0,3.7,2.2,False
7.0,0.79,1.0262,0.63,0.35,6.9,3.9,False
3.0,0.85,1.0244,0.56,0.0,5.7,4.2,False
4.0,0.79,1.0248,0.54,0.0,4.3,5.6,False
8.0,0.88,1.0373,0.06,0.0,0.0,3.2,False
8.0,0.77,1.0319,0.1,0.0,0.0,2.4,False
1.0,0.78,1.0226,0.66,0.0,7.5,1.7,False
0.0,0.8,1.023,0.69,0.0,7.6,0.6,False
6.0,0.85,1.0311,0.51,0.0,2.8,-1.3,False
7.0,0.8,1.0346,0.23,0.0,0.3,-0.4,False
8.0,0.79,1.0328,0.33,0.0,0.1,0.9,False
7.0,0.83,1.0267,0.18,0.03,0.0,4.5,False
8.0,0.74,1.0297,0.18,0.0,0.0,2.5,False
8.0,0.8,1.017,0.09,0.12,0.0,3.1,False
8.0,0.86,1.0151,0.33,0.42,0.0,2.0,False
7.0,0.78,1.0235,0.29,0.02,0.0,-4.0,False
2.0,0.61,1.0302,0.87,0.0,8.1,-6.5,False
0.0,0.71,1.0354,0.84,0.0,8.1,-6.8,False
1.0,0.76,1.0342,0.89,0.0,8.4,-5.2,False
5.0,0.78,1.0269,0.53,0.0,2.2,-1.7,False
8.0,0.65,1.0166,0.11,0.13,0.0,7.4,False
8.0,0.74,1.0224,0.1,0.02,0.0,10.0,False
5.0,0.74,1.0304,0.42,0.0,1.6,8.1,False
3.0,0.84,1.0248,0.88,0.0,5.8,5.4,False
5.0,0.74,1.0361,0.55,0.0,2.9,5.2,False
1.0,0.78,1.0391,0.96,0.0,8.3,3.3,False
3.0,0.65,1.0343,0.94,0.0,8.1,6.9,False
4.0,0.7,1.0274,0.69,0.0,3.0,6.0,False
8.0,0.67,1.0239,0.33,0.01,0.3,7.6,False
8.0,0.72,1.017,0.35,0.44,0.1,11.4,False
6.0,0.72,1.0281,0.55,0.09,1.9,5.6,False
3.0,0.67,1.0264,1.11,1.27,8.0,6.2,False
8.0,0.84,1.0286,0.13,0.02,0.0,4.2,False
7.0,0.77,1.025,0.15,0.04,0.0,5.6,False
7.0,0.82,1.0252,0.51,0.15,0.7,7.0,False
7.0,0.8,1.0197,0.49,1.22,1.2,8.3,False
6.0,0.79,1.0103,0.62,0.48,1.5,4.4,False
6.0,0.78,1.0134,0.44,0.02,0.9,2.1,False
7.0,0.77,1.0123,0.5,0.25,0.4,6.0,False
3.0,0.68,1.0273,1.35,0.0,9.6,2.1,False
8.0,0.76,1.0306,0.37,0.0,0.0,3.5,False
8.0,0.85,1.0315,0.56,0.04,0.0,7.4,False
2.0,0.76,1.0283,1.43,0.0,9.0,9.0,False
5.0,0.61,1.0219,1.39,0.42,8.5,11.0,False
8.0,0.81,1.0099,0.35,0.36,0.0,5.8,False
8.0,0.59,1.0185,0.46,0.53,0.1,7.5,False
1.0,0.54,1.0357,1.68,0.0,10.6,1.7,False
2.0,0.56,1.0322,1.69,0.0,10.6,3.9,False
7.0,0.74,1.0283,0.63,0.0,2.1,10.3,False
7.0,0.66,1.0225,1.43,0.0,5.9,11.1,False
6.0,0.65,1.0243,1.43,0.0,6.9,9.3,False
1.0,0.69,1.026,1.72,0.04,9.8,7.5,False
8.0,0.7,1.0242,0.63,0.56,0.4,10.5,False
5.0,0.61,1.0306,1.23,0.0,4.0,5.4,False
8.0,0.78,1.0285,0.38,0.03,0.0,8.1,False
8.0,0.79,1.0287,0.67,0.0,0.3,6.5,False
2.0,0.5,1.0257,1.88,0.0,9.8,6.9,False
2.0,0.56,1.0217,1.95,0.0,11.1,8.2,False
1.0,0.54,1.019,1.95,0.0,11.0,10.3,True
6.0,0.6,1.0148,1.1,0.02,3.0,11.0,False
7.0,0.65,1.014,0.8,0.0,1.8,11.1,False
6.0,0.62,1.0158,1.71,0.0,8.2,10.9,False
8.0,0.69,1.0127,0.95,0.24,0.9,8.0,False
7.0,0.74,1.0089,1.04,0.02,2.1,6.0,False
7.0,0.78,1.0104,0.81,0.07,0.6,5.7,False
8.0,0.87,1.0083,0.18,0.47,0.0,3.8,False
8.0,0.7,1.0133,0.68,0.0,0.0,5.7,False
6.0,0.77,1.008,0.95,0.0,1.2,7.1,False
7.0,0.68,0.9942,1.72,0.28,4.8,11.5,False
7.0,0.84,1.0063,0.7,0.56,0.0,8.6,False
8.0,0.84,1.0242,0.23,0.0,0.0,3.8,False
2.0,0.63,1.0289,2.43,0.0,12.3,5.9,False
5.0,0.55,1.0097,1.59,0.0,5.8,10.3,False
7.0,0.59,1.0059,1.61,0.16,4.7,10.2,False
8.0,0.77,0.9987,1.19,1.38,1.8,9.6,False
5.0,0.64,0.9972,1.93,0.37,6.5,8.4,False
8.0,0.81,1.0026,0.82,0.5,0.1,8.3,False
4.0,0.69,1.0007,2.28,0.0,9.4,12.5,True
7.0,0.67,1.0029,0.83,0.1,1.0,10.0,False
7.0,0.75,1.0023,0.94,0.02,1.9,8.6,False
8.0,0.75,1.0112,0.82,0.0,0.4,9.6,False
5.0,0.71,1.0132,1.6,0.0,4.8,10.1,False
2.0,0.63,1.015,2.59,0.0,12.0,12.9,True
7.0,0.59,1.016,2.42,0.0,9.2,16.8,True
4.0,0.56,1.0114,2.29,0.0,8.6,18.4,True
3.0,0.57,1.0099,2.67,0.0,11.9,17.8,True
7.0,0.64,1.0078,1.53,0.0,0.9,16.3,True
8.0,0.77,1.0174,0.68,0.0,0.0,11.8,False
7.0,0.76,1.0161,2.27,0.0,7.0,17.0,True
6.0,0.67,1.017,2.07,0.0,4.6,17.5,True
4.0,0.7,1.0145,2.41,0.0,8.8,17.0,True
5.0,0.71,1.0134,2.45,0.0,8.5,16.7,True
6.0,0.75,1.0183,1.91,0.73,6.1,16.9,False
3.0,0.65,1.0172,2.86,0.0,11.0,18.8,True
5.0,0.64,1.015,2.64,0.0,8.4,20.0,True
8.0,0.8,1.0207,1.1,0.0,0.1,16.7,True
7.0,0.82,1.0216,0.98,0.05,0.3,16.2,False
3.0,0.68,1.0219,3.02,0.0,12.2,18.4,True
2.0,0.58,1.0204,3.06,0.0,12.8,19.4,True
4.0,0.6,1.0171,2.66,0.0,10.1,20.9,True
7.0,0.74,1.016,1.74,0.19,4.6,17.3,False
6.0,0.68,1.0136,1.18,0.16,2.6,13.6,False
5.0,0.58,1.0144,2.81,0.03,8.8,13.0,False
5.0,0.68,1.0118,1.85,0.32,4.4,12.8,False
3.0,0.64,1.0198,2.72,0.0,8.8,12.4,False
5.0,0.61,1.0209,3.16,0.0,13.8,14.4,True
2.0,0.6,1.0175,3.18,0.0,13.6,17.4,True
8.0,0.69,1.0172,1.06,0.0,0.6,16.8,True
4.0,0.71,1.0149,2.68,1.5,8.1,18.4,False
7.0,0.75,1.0174,1.64,0.52,3.8,13.4,False
7.0,0.68,1.0126,0.81,0.37,0.6,14.1,False
8.0,0.79,1.0165,0.79,1.08,0.6,12.4,False
7.0,0.78,1.0194,1.55,0.24,2.4,15.1,False
3.0,0.68,1.0234,3.19,0.0,12.5,17.8,True
5.0,0.63,1.0203,3.1,0.0,10.7,21.7,True
3.0,0.64,1.0174,2.97,0.38,12.0,22.8,False
3.0,0.65,1.0171,3.07,0.38,11.8,23.4,False
5.0,0.8,1.0162,2.11,4.11,7.6,19.6,False
8.0,0.84,1.0221,0.88,0.1,0.0,13.4,False
0.0,0.61,1.0184,3.35,0.0,14.6,18.4,True
2.0,0.6,1.0133,3.24,0.24,14.0,22.9,False
8.0,0.84,1.0166,0.42,0.0,0.0,17.7,True
7.0,0.69,1.0243,2.85,0.35,7.5,20.6,False
2.0,0.72,1.0236,3.05,0.0,10.7,21.3,True
6.0,0.65,1.0244,2.8,0.08,7.4,20.8,False
1.0,0.61,1.0277,3.38,0.0,14.8,16.9,True
0.0,0.5,1.026,3.52,0.0,15.3,19.7,True
1.0,0.48,1.0214,3.36,0.0,15.0,23.0,True
1.0,0.5,1.0168,3.22,0.0,14.0,25.1,True
1.0,0.5,1.0166,3.23,0.0,14.1,24.6,True
7.0,0.75,1.02,1.05,0.45,2.9,18.7,False
7.0,0.77,1.0194,0.74,0.46,0.0,14.1,False
7.0,0.69,1.0207,1.87,0.0,1.4,13.7,False
2.0,0.62,1.0227,3.15,0.0,13.1,14.6,True
1.0,0.57,1.0207,3.28,0.0,12.5,15.5,True
5.0,0.68,1.018,1.7,0.19,4.9,14.7,False
5.0,0.58,1.0189,3.13,0.0,13.0,17.1,True
2.0,0.54,1.0154,3.24,0.0,12.9,18.8,True
5.0,0.65,1.0121,2.52,0.25,9.6,20.9,False
